License Type,License Number,Business County,Business Name,Business Address Line1,Business Address Line2,Business City State Zip,Business Telephone,License Expiration Date,Owner Name,Mailing Address Line1,Mailing Address Line2,Mailing Address City State Zip,Mailing Address County,Owner Telephone,License Subtype,Continuing Education Flag,Longitude,Latitude
Full Service Establishment,511456,MADISON,VIVIAN'S BEAUTY SHOP,205 MCLARAN,,MADISONVILLE TX 77864,9363485484,02/28/2027,VIVIAN'S BEAUTY SHOP,205 MCLARAN STREET,,MADISONVILLE TX 77864-3122,MADISON,9363485484,CS,Y,-95.92166,30.959051
Full Service Establishment,511550,POTTER,DALE JOHNS EXCLUSIVE,2700 WEST SIXTH,,AMARILLO TX 79106,8063746591,05/08/2025,DALE JOHNS EXCLUSIVE,2700 SW 6TH AVE STE A,,AMARILLO TX 79106-8903,POTTER,8063746591,CS,Y,-101.853386,34.063292
Full Service Establishment,511605,VAN ZANDT,SAMMY'S BEAUTY SALON,122 EAST FRANK STREET,,GRAND SALINE TX 75140,9039624501,02/26/2026,SAMMY'S BEAUTY SALON,,,,VAN ZANDT,9039624501,CS,Y,-95.708971,32.673238
Full Service Establishment,511715,GREGG,MARY'S BEAUTY SALON,501 SCENIC DRIVE,,LONGVIEW TX 75604,9037592352,08/18/2027,MARY'S BEAUTY SALON,501 SCENIC DR,,LONGVIEW TX 75604-3825,GREGG,9037592352,CS,Y,-94.80605,32.51153
Full Service Establishment,511835,RUSK,PEGGY'S BEAUTY SALON,HWY 259 S TR CR 490 SHOP ON L,,MINDEN TX 75680,9038982429,01/31/2027,PEGGY'S BEAUTY SALON,1369 COUNTY ROAD 490 W,,MOUNT ENTERPRISE TX 75681-4181,RUSK,9038982429,CS,Y,-94.707224,32.013326
Full Service Establishment,512410,COLLIN,SHIRLEY'S HAIR SHOP,WEST SQUARE,,CELINA TX 75009,9723822680,07/10/2025,SHIRLEY'S HAIR SHOP,,,,COLLIN,9723822680,CS,Y,-96.785255,33.32377
Full Service Establishment,512484,BOWIE,HAIR DESIGN SYSTEMS,2801 ROBIN LANE,,TEXARKANA TX 75503,9038324247,08/11/2027,HAIR DESIGN SYSTEMS,2801 ROBIN LN,,TEXARKANA TX 75503-2137,BOWIE,9038324247,CS,Y,-94.090865,33.46133
Full Service Establishment,512673,POTTER,STYLING BEAUTY CENTER,1311 NORTH HUGHES,,AMARILLO TX 79107,8063724831,06/21/2025,STYLING BEAUTY CENTER,1311 N HUGHES ST,,AMARILLO TX 79107-3237,POTTER,8063724831,CS,Y,-101.847439,35.227962
Full Service Establishment,513224,POLK,DUNHAM BEAUTY SHOP,1006 SCHOOL,,LIVINGSTON TX 77351,8327549863,03/03/2028,DUNHAM BEAUTY SHOP,5199 S FM 1988,,LIVINGSTON TX 77351-7341,POLK,8327549863,CS,Y,-94.942999,30.72276
Full Service Establishment,513335,LAMAR,MINNIE'S BEAUTY SHOP,1225 7TH NORTHWEST,,PARIS TX 75460,9037844401,03/06/2027,MINNIE'S BEAUTY SHOP,1225 7TH ST NW,,PARIS TX 75460-2562,LAMAR,9037844401,CS,Y,-95.563307,33.672817
Full Service Establishment,513419,WEBB,MICHAEL BEAUTY CLINIC,1111 CLARK BLVD (FRONT),,LAREDO TX 78040,9567224011,09/01/2027,MICHAEL BEAUTY CLINIC,1111 CLARK BLVD,,LAREDO TX 78040-3328,WEBB,9567224011,CS,Y,-99.48504,27.51638
Full Service Establishment,513452,WICHITA,THE PLAZA BEAUTY NOOK,1400 GLADIOLUS,,WICHITA FALLS TX 76301,9407679151,10/31/2027,THE PLAZA BEAUTY NOOK,1400 GLADIOLUS ST,,WICHITA FALLS TX 76301-1409,WICHITA,9407679151,CS,Y,-98.478464,33.920555
Full Service Establishment,513619,WARD,LIZA'S HOUSE OF BEAUTY,408 WEST 10TH STREET,,MONAHANS TX 79756,4329400970,09/17/2027,LIZA'S HOUSE OF BEAUTY,408 W 10TH ST,,MONAHANS TX 79756-5037,WARD,4329400970,CS,Y,-102.89355,31.58467
Full Service Establishment,513621,TITUS,BETTY'S BEAUTY BONANZA,109 EAST FOURTH,,MOUNT PLEASANT TX 75455,9035725629,09/30/2026,BETTY'S BEAUTY BONANZA,109 E 4TH ST,,MOUNT PLEASANT TX 75455-4025,TITUS,9035725629,CS,Y,-94.96787,33.159321
Full Service Establishment,513631,HIDALGO,HIGHLAND BEAUTY SALON,1001 D HIGHLAND PARK,,MISSION TX 78572,9565853132,10/28/2027,HIGHLAND BEAUTY SALON,1001 HIGHLAND PARK AVE STE D,,MISSION TX 78572-4468,HIDALGO,9565853132,CS,Y,-98.313826,26.214607
Full Service Establishment,513756,MONTAGUE,MODERN BEAUTY SHOP,607 LINDSEY STE C,,BOWIE TX 76230,9408722831,02/28/2027,MODERN BEAUTY SHOP,607 LINDSEY ST STE C,,BOWIE TX 76230-4338,MONTAGUE,9408722831,CS,Y,-97.844387,33.56217
Full Service Establishment,513955,NACOGDOCHES,JOYCE'S BEAUTY SHOP,1111 TIMBERLAKE STREET,,NACOGDOCHES TX 75961,9365645540,01/31/2025,JOYCE'S BEAUTY SHOP,1111 TIMBERLAKE ST,,NACOGDOCHES TX 75961-5641,NACOGDOCHES,9365645540,CS,Y,-94.64517,31.59935
Full Service Establishment,514051,RANDALL,CLIP AND CURL BEAUTY SHOP,5000 TULIP,,AMARILLO TX 79110,8063521883,09/30/2025,CLIP AND CURL BEAUTY SHOP,5000 TULIP AVE,,AMARILLO TX 79110-4335,RANDALL,8063521883,CS,Y,-101.891143,35.135088
Full Service Establishment,514064,MCCULLOCH,BRADY HILLS NURSING BTY SALON,2201 MENARD HWY,,BRADY TX 76825,3255972906,05/03/2027,BRADY HILLS NURSING BTY SALON,2201 MENARD HWY,,BRADY TX 76825-7432,MCCULLOCH,3255972906,CS,Y,-99.337298,31.110572
Full Service Establishment,514065,MIDLAND,HAIR SCAPES & HEAD HUNTERS,1200 WHITNEY,,MIDLAND TX 79701,4326995999,04/26/2026,HAIR SCAPES & HEAD HUNTERS,2800 PRINCETON AVE,,MIDLAND TX 79701-3844,MIDLAND,4326995999,CS,Y,-102.114433,32.002161
Full Service Establishment,514106,WHARTON,PATRICIA'S BEAUTY SHOP,412 ASH,,EL CAMPO TX 77437,9795434687,02/28/2028,PATRICIA'S BEAUTY SHOP,412 ASH ST,,EL CAMPO TX 77437-2934,WHARTON,9795434687,CS,Y,-96.280437,29.203586
Full Service Establishment,514110,BRAZORIA,SADIE'S BEAUTY SALON,702 SYCAMORE,[GBKM 878L],SWEENY TX 77480,9794187078,06/30/2027,SADIE'S BEAUTY SALON,702 SYCAMORE ST,,SWEENY TX 77480-1625,BRAZORIA,9794187078,CS,Y,-95.705295,29.041168
Full Service Establishment,514373,TRAVIS,CLIP N CURL BY LILY,5730 MANCHACA,,AUSTIN TX 78745,5124443435,03/22/2028,CLIP N CURL BY LILY,1110 RADAM CIR,,AUSTIN TX 78745-3018,TRAVIS,5124443435,CS,Y,-97.812612,30.202605
Full Service Establishment,514650,BOWIE,VONDA'S BEAUTY SHOP,HWY 1840 1 MILE ON L,,DE KALB TX 75559,9036672051,06/30/2027,VONDA'S BEAUTY SHOP,11596 FM 1840,,DE KALB TX 75559-3528,BOWIE,9036672051,CS,Y,-94.616449,33.508708
Full Service Establishment,514746,FORT BEND,LORENE'S BEAUTY SHOP,1200 WEST STREET REAR,,ROSENBERG TX 77471,2816353336,04/04/2028,LORENE'S BEAUTY SHOP,2702 FALLING FOREST CT,,RICHMOND TX 77406,FORT BEND,2816353336,CS,Y,-95.814566,29.555882
Full Service Establishment,514910,RANDALL,SHERIDAN'S BEAUTY SHOP,5000 YALE,,AMARILLO TX 79109,8063531112,06/30/2027,SHERIDAN'S BEAUTY SHOP,5000 YALE ST,,AMARILLO TX 79109-5829,RANDALL,8063531112,CS,Y,-101.896003,35.155254
Full Service Establishment,515247,,MARIBETH'S BEAUTY SALON,,,,8063739761,04/09/2028,MARIBETH'S BEAUTY SALON,3600 S JACKSON ST,,AMARILLO TX 79110-1427,,8063739761,CS,Y,,
Full Service Establishment,516184,HIDALGO,MODERN BTY SHOP,2527 S BUS HWY 281,,EDINBURG TX 78539,9563839292,06/29/2027,MODERN BTY SHOP,2527 S BUSINESS HIGHWAY 281,,EDINBURG TX 78539-6227,HIDALGO,9563839292,CS,Y,-98.16885,26.27761
Full Service Establishment,516446,JASPER,PAULA'S BEAUTY BOX,1551 BURCH,,JASPER TX 75951,4093845351,02/28/2028,PAULA'S BEAUTY BOX,1551 BURCH ST,,JASPER TX 75951-2322,JASPER,4093845351,CS,Y,-93.985204,30.942433
Full Service Establishment,516507,TARRANT,FISHER'S BEAUTY SALON,2909 EVANS AVE,,FORT WORTH TX 76104,8179239294,07/19/2026,FISHER'S BEAUTY SALON,2909 EVANS AVE STE A,,FORT WORTH TX 76104-7244,TARRANT,8179239294,CS,Y,-97.318244,32.708946
Full Service Establishment,516543,HARRIS,CHARME HAIRDO'S,4613 LOCKWOOD DRIVE,,HOUSTON TX 77026,7136737500,12/18/2024,CHARME HAIRDO'S,4613 LOCKWOOD DR,,HOUSTON TX 77026-2936,HARRIS,7136737500,CS,Y,-95.31736,29.80282
Full Service Establishment,516570,MILAM,WANDA'S BEAUTY SALON,306 CR 352,,GAUSE TX 77857,9797771236,06/30/2025,WANDA'S BEAUTY SALON,,,,MILAM,9797771236,CS,Y,-96.72355,30.780644
Full Service Establishment,517064,GALVESTON,FASCINATION BEAUTY SALON,512 25TH STREET NORTH,,TEXAS CITY TX 77590,4099396525,12/31/2026,FASCINATION BEAUTY SALON,512 N LOGAN ST,,TEXAS CITY TX 77590-7051,GALVESTON,4099396525,CS,Y,-94.930433,29.390469
Full Service Establishment,517218,HOPKINS,MARGIE'S BEAUTY SHOP,HWY 11 NEXT TO GARAGE,,PICKTON TX 75471,9033482037,04/30/2025,MARGIE'S BEAUTY SHOP,15119 TEXAS HIGHWAY 11 E,,PICKTON TX 75471-4510,HOPKINS,9033482037,CS,Y,-95.384606,33.02107
Full Service Establishment,517375,COLLIN,PATSY'S HAIR FASHIONS,410 SOUTHVIEW DR,,ALLEN TX 75002,9724422381,01/31/2027,PATSY'S HAIR FASHIONS,410 SOUTHVIEW DR,,LUCAS TX 75002-7204,COLLIN,9724422381,CS,Y,-96.57714,33.08066
Full Service Establishment,517422,HARRIS,BA-BAYS PRETTY GIRLS BTY SHOP,7211 SAUNDERS,,HOUSTON TX 77016,7136311927,01/09/2028,BA-BAYS PRETTY GIRLS BTY SHOP,7211 SAUNDERS RD,,HOUSTON TX 77016-2719,HARRIS,7136311927,CS,Y,-95.298954,29.865
Full Service Establishment,517468,WICHITA,COSMOPOLITAN HAIR FASHIONS,2409 AVENUE J,,WICHITA FALLS TX 76309,9407235911,05/04/2026,COSMOPOLITAN HAIR FASHIONS,2409 AVENUE J,,WICHITA FALLS TX 76309-3955,WICHITA,9407235911,CS,Y,-98.523814,33.893071
Full Service Establishment,517485,WILSON,HELEN'S BEAUTY SALON,731 FIRST STREET,,FLORESVILLE TX 78114,8303936886,07/29/2026,HELEN'S BEAUTY SALON,731 1ST ST,,FLORESVILLE TX 78114-1603,WILSON,8303936886,CS,Y,-98.16984,29.140564
Full Service Establishment,517500,HARRIS,OLLIE DAWSON BEAUTY SHOP,10417 FAIRLAND DRIVE,,HOUSTON TX 77051,7137334520,05/01/2025,OLLIE DAWSON BEAUTY SHOP,10417 FAIRLAND DR,,HOUSTON TX 77051-4247,HARRIS,7137334520,CS,Y,-95.373316,29.646044
Full Service Establishment,517632,SCURRY,ART STYLE BEAUTY SALON,SNYDER SHOPPING CENTER,,SNYDER TX 79549,3255730109,01/05/2026,ART STYLE BEAUTY SALON,,,,SCURRY,3255730109,CS,Y,-100.919506,32.70755
Full Service Establishment,517659,CAMERON,HELEN'S HAIR STYLES,802 S RANGERVILLE RD,,HARLINGEN TX 78552,9564233544,07/20/2027,HELEN'S HAIR STYLES,802 S RANGERVILLE RD,,HARLINGEN TX 78552-7548,CAMERON,9564233544,CS,Y,-97.704889,26.16702
Full Service Establishment,517765,KERR,HILL TOP VILLAGE BEAUTY SHOP,1400 HILLTOP VILLAGE,HILLTOP CIRCLE,KERRVILLE TX 78028,8308953200,08/26/2026,HILL TOP VILLAGE BEAUTY SHOP,1400 HILLTOP RD,,KERRVILLE TX 78028-2851,KERR,8308953200,CS,Y,-99.140573,30.04748
Full Service Establishment,517970,EL PASO,STYLES UNLIMITED UNISEX SALON,516 TALBOT,,CANUTILLO TX 79835,9158773627,08/01/2025,STYLES UNLIMITED UNISEX SALON,PO BOX 444,,CANUTILLO TX 79835-0444,EL PASO,9158773627,CS,Y,-106.59439,31.90801
Full Service Establishment,517993,GRAY,A CUT ABOVE,2000 NORTH HOBART,,PAMPA TX 79065,8066654071,06/14/2026,A CUT ABOVE,1541 WILLISTON ST,,PAMPA TX 79065-4325,GRAY,8066654071,CS,Y,-100.971597,35.557826
Full Service Establishment,518246,HARRIS,OAK MEADOWS BEAUTY SHOP,1410 AHRENS DRIVE,,HOUSTON TX 77017,7136491930,02/28/2028,OAK MEADOWS BEAUTY SHOP,1410 AHRENS ST,,HOUSTON TX 77017-5502,HARRIS,7136491930,CS,Y,-95.245665,29.688395
Full Service Establishment,518311,HARRIS,ALMA'S BEAUTY SHOP,1215 TEAL,,HOUSTON TX 77029,7138598302,08/17/2026,ALMA'S BEAUTY SHOP,1215 TEAL ST,,HOUSTON TX 77029-4424,HARRIS,7138598302,CS,N,-95.267614,29.744159
Full Service Establishment,518436,NUECES,SPANISH GATE BEAUTY SALON,326 WEST AVENUE J,,ROBSTOWN TX 78380,3613873722,03/09/2027,SPANISH GATE BEAUTY SALON,326 W AVENUE J,,ROBSTOWN TX 78380-2208,NUECES,3613873722,CS,Y,-97.672183,27.800314
Full Service Establishment,518490,HIDALGO,IRMA'S HAIR FASHIONS,1001 NORTH MAIN,,MC ALLEN TX 78501,9566860641,05/13/2026,IRMA'S HAIR FASHIONS,1001 N MAIN ST,,MCALLEN TX 78501-4328,HIDALGO,9566860641,CS,Y,-98.233165,26.21335
Full Service Establishment,518548,VAN ZANDT,MR RAY'S COIFFURES,1631 S BUFFALO,,CANTON TX 75103,9035674501,05/04/2025,MR RAY'S COIFFURES,1631 S BUFFALO ST,,CANTON TX 75103-2619,VAN ZANDT,9035674501,CS,Y,-95.878165,32.538404
Full Service Establishment,518567,TARRANT,MAM' ZELLE BEAUTY SALON,3548 S HILLS AVE STE 7,,FORT WORTH TX 76109-2838,8178051833,04/11/2028,MAM' ZELLE BEAUTY SALON,25 LEGEND RD,,BENBROOK TX 76132-1035,TARRANT,8178051833,CS,Y,-97.368117,32.69701
Full Service Establishment,518601,WOOD,JOAN'S BEAUTY SALON,1202 BONITA,,QUITMAN TX 75783,9037632336,09/30/2026,JOAN'S BEAUTY SALON,1302 BONITA DR,,QUITMAN TX 75783-2112,WOOD,9037632336,CS,Y,-95.438227,32.804643
Full Service Establishment,518609,LEE,TANA'S SHOPPE OF BEAUTY,412 4TH STREET,,LEXINGTON TX 78947,9797734031,07/03/2026,TANA'S SHOPPE OF BEAUTY,PO BOX 24,,LEXINGTON TX 78947-0024,LEE,9797734031,CS,Y,-97.00934,30.41622
Full Service Establishment,518664,TRAVIS,MARVA'S OF AUSTIN,1805 CHICON,,AUSTIN TX 78702,5126999950,12/31/2026,MARVA'S OF AUSTIN,1805 CHICON ST,,AUSTIN TX 78702-1233,TRAVIS,5126999950,CS,Y,-97.72089,30.2792
Full Service Establishment,518815,KAUFMAN,COUNTRYSIDE BEAUTY SALON,ON HWY 85 SOUTH TO HWY 274 TO,SEVEN POINT,SEVEN POINTS TX 75143,9034986064,02/01/2027,COUNTRYSIDE BEAUTY SALON,11878 COUNTY ROAD 2429,,KEMP TX 75143-6980,KAUFMAN,9034986064,CS,Y,-96.204349,32.323359
Full Service Establishment,518954,FLOYD,WITCHE'S HUT SALON,311 WEST HOUSTON,,LOCKNEY TX 79241,8063175611,12/31/2025,WITCHE'S HUT SALON,PO BOX 663,,LOCKNEY TX 79241-0663,FLOYD,8063175611,CS,Y,-101.43893,34.12661
Full Service Establishment,518964,HOUSTON,CAROLYN'S BEAUTY SALON,156 CR 2025,,CROCKETT TX 75835,9362049165,01/07/2027,CAROLYN'S BEAUTY SALON,156 COUNTY ROAD 2025,,CROCKETT TX 75835-7041,HOUSTON,9362049165,CS,Y,-95.4983,31.33306
Full Service Establishment,519251,FRIO,T'S HAIR STUDIO,105 EAST KINSEL,,DILLEY TX 78017,8303261380,10/08/2026,T'S HAIR STUDIO,PO BOX 543,,DILLEY TX 78017-0543,FRIO,8303261380,CS,Y,-99.167811,28.672808
Full Service Establishment,519296,BEXAR,JOSEPHINE'S BEAUTY SALON,4122 PARK TERRACE,,SAN ANTONIO TX 78237,2104879076,05/16/2027,JOSEPHINE'S BEAUTY SALON,4122 PARK TER,,SAN ANTONIO TX 78237-1338,BEXAR,2104879076,CS,Y,-98.569334,29.434455
Full Service Establishment,519333,HIDALGO,JOHN KNOX VILLAGE BEAUTY SHOP,1300 S BORDER AVE,,WESLACO TX 78596,9569684575,11/30/2025,JOHN KNOX VILLAGE BEAUTY SHOP,1300 S BORDER AVE,,WESLACO TX 78596-5142,HIDALGO,9569684575,CS,Y,-98.000005,26.147095
Full Service Establishment,519365,DALLAS,HAIR IS - COIFFURES BY LORENE,104 TERRACE DRIVE,,DALLAS TX 75224,2146078239,03/18/2028,HAIR IS - COIFFURES BY LORENE,307 TERRACE DR,,DALLAS TX 75224-2851,DALLAS,2146078239,CS,Y,-96.823454,32.715711
Full Service Establishment,519844,GONZALES,JACQUE'S FASHIONETTE,764 COUNTY RD 342,,GONZALES TX 78629,8308576172,01/12/2027,JACQUE'S FASHIONETTE,764 COUNTY ROAD 342,,GONZALES TX 78629-2737,GONZALES,8308576172,CS,Y,-97.407503,29.504281
Full Service Establishment,519966,HARRIS,BUCKNER BAPTIST HAVEN BTY SHOP,1321 PARK BAYOU DRIVE,,HOUSTON TX 77077,,02/13/2027,BUCKNER BAPTIST HAVEN BTY SHOP,1321 PARK BAYOU DR,,HOUSTON TX 77077-1507,HARRIS,,CS,Y,-95.627389,29.759847
Full Service Establishment,520282,WHARTON,AMY'S BEAUTY SHOP,222 LOUIS,,EAST BERNARD TX 77435,9793357714,10/31/2026,AMY'S BEAUTY SHOP,PO BOX 80,,EAST BERNARD TX 77435-0080,WHARTON,9793357714,CS,Y,-96.062315,29.534965
Full Service Establishment,520369,HARRIS,MIRROR MAGIC HAIR STYLES,1619 WEST 25TH STREET,,HOUSTON TX 77008,7138625052,05/31/2026,MIRROR MAGIC HAIR STYLES,1619 W 25TH ST,,HOUSTON TX 77008-1518,HARRIS,7138625052,CS,Y,-95.428385,29.80888
Full Service Establishment,520420,HARRIS,IDLEWOOD HAIR PLACE,14112 ALMEDA SCHOOL ROAD,,HOUSTON TX 77047,8323724635,09/14/2025,IDLEWOOD HAIR PLACE,14112 ALMEDA SCHOOL RD,,HOUSTON TX 77047-5008,HARRIS,8323724635,CS,Y,-95.417671,29.602466
Full Service Establishment,520476,UVALDE,DARLENE'S BEAUTY SALON,123 W DOUGHTY,,UVALDE TX 78801,8302787703,02/28/2027,DARLENE'S BEAUTY SALON,123 WEST DOUGHTY ST,,UVALDE TX 78801,UVALDE,8302787703,CS,Y,-99.78468,29.20268
Full Service Establishment,520479,ATASCOSA,GRACIE'S BEAUTY SALON,615 SAN ANTONIO,,PLEASANTON TX 78064,8305693312,05/31/2027,GRACIE'S BEAUTY SALON,615 SAN ANTONIO ST,,PLEASANTON TX 78064-2253,ATASCOSA,8305693312,CS,Y,-98.476511,28.973174
Full Service Establishment,520519,WHARTON,LAVON'S BEAUTY CENTER,403 EAST NORRIS,,EL CAMPO TX 77437,9795435538,05/31/2025,LAVON'S BEAUTY CENTER,403 E NORRIS ST,,EL CAMPO TX 77437-3011,WHARTON,9795435538,CS,Y,-96.27248,29.20536
Full Service Establishment,520529,BELL,ADA'S BEAUTY SALON,129 WEST ARLO ROAD,,HARKER HEIGHTS TX 76548,2546996666,07/15/2026,ADA'S BEAUTY SALON,129 W ARLO RD,,HARKER HEIGHTS TX 76548-1134,BELL,2546996666,CS,Y,-97.668299,31.089276
Full Service Establishment,520629,BELL,CONTESSA BEAUTY SALON,1605 WEST AVE H SUITE 200,,TEMPLE TX 76504,2547733841,12/28/2026,CONTESSA BEAUTY SALON,1605 W AVENUE H STE 200,,TEMPLE TX 76504-5296,BELL,2547733841,CS,Y,-97.36105,31.09295
Full Service Establishment,520736,BROOKS,ONNE'S BEAUTY SALON,301 W LITTLEFIELD,,FALFURRIAS TX 78355,3613255556,10/31/2026,ONNE'S BEAUTY SALON,301 W LITTLEFIELD ST,,FALFURRIAS TX 78355-4813,BROOKS,3613255556,CS,Y,-98.148033,27.216728
Full Service Establishment,520825,HARRIS,ROUX'S CHATEAU OF BEAUTY,3416 WISCONSIN,,BAYTOWN TX 77520,2814225970,01/31/2027,ROUX'S CHATEAU OF BEAUTY,3416 WISCONSIN ST,,BAYTOWN TX 77520-5951,HARRIS,2814225970,CS,Y,-95.009025,29.7295
Full Service Establishment,520831,COLORADO,GARWOOD BEAUTY SHOP,CORNER OF ARTHUR AND MAIN,708 MAIN,GARWOOD TX 77442,9797583345,03/31/2028,GARWOOD BEAUTY SHOP,PO BOX 13,,GARWOOD TX 77442-0013,COLORADO,9797583345,CS,Y,-96.397522,29.448173
Full Service Establishment,521063,HARRIS,BILLIE JEAN'S HAIR DESIGNS,2403 SOUTH SHEPHERD,,HOUSTON TX 77019,7135234727,02/15/2027,BILLIE JEAN'S HAIR DESIGNS,2403 S SHEPHERD DR,,HOUSTON TX 77019-7015,HARRIS,7135234727,CS,Y,-95.410355,29.744513
Full Service Establishment,521122,HARDIN,DONNA'S KUT,1045 SOUTH MAIN,,LUMBERTON TX 77657,4097553504,10/31/2026,DONNA'S KUT,1045 S MAIN ST,,LUMBERTON TX 77657-7386,HARDIN,4097553504,CS,Y,-94.19493,30.23793
Full Service Establishment,521199,HARRIS,B'S SALON OF BEAUTY,3757 CORK,,HOUSTON TX 77047,7137349454,09/02/2027,B'S SALON OF BEAUTY,3757 CORK DR,,HOUSTON TX 77047-2801,HARRIS,7137349454,CS,Y,-95.36027,29.62583
Full Service Establishment,521246,GONZALES,GLORIA'S BEAUTY SHOP,724 SAINT GEORGE STREET,,GONZALES TX 78629,8306723409,02/28/2026,GLORIA'S BEAUTY SHOP,724 SAINT GEORGE ST,,GONZALES TX 78629-3561,GONZALES,8306723409,CS,Y,-97.44871,29.50375
Full Service Establishment,521302,WALKER,FAYE'S BEAUTY SALON,187 B DIDLAKE ROAD,,HUNTSVILLE TX 77340,9362959826,03/05/2027,FAYE'S BEAUTY SALON,187B DIDLAKE RD,,HUNTSVILLE TX 77340-2035,WALKER,9362959826,CS,Y,-95.655477,30.676582
Full Service Establishment,521365,LYNN,JO'S BEAUTY SHOP,1/2 BLK EAST ELEMENTARY SCHOOL,,WILSON TX 79381,8063923734,05/30/2026,JO'S BEAUTY SHOP,1411 HOUSTON AVE,,WILSON TX 79381-1961,LYNN,8063923734,CS,N,-101.724343,33.317018
Full Service Establishment,521511,CASS,BEAUTY BOUTIQUE,302 W THOMAS ST,,LINDEN TX 75563,9037565618,09/30/2027,BEAUTY BOUTIQUE,PO BOX 481,,LINDEN TX 75563,CASS,9037565618,CS,Y,-94.365393,33.011583
Full Service Establishment,521618,CORYELL,KUT AND KURL BEAUTY SHOP,2529 BRIDGE,,GATESVILLE TX 76528,2548656856,04/30/2027,KUT AND KURL BEAUTY SHOP,2529 BRIDGE ST,,GATESVILLE TX 76528-2507,CORYELL,2548656856,CS,Y,-97.72534,31.42954
Full Service Establishment,521638,UPSHUR,CHARM BEAUTY SALON,108 CASS,,GILMER TX 75644,9038433531,12/20/2027,CHARM BEAUTY SALON,108 W CASS ST,,GILMER TX 75644-1825,UPSHUR,9038433531,CS,Y,-94.94277,32.72876
Full Service Establishment,521731,GREGG,SHELBA BEAUTY SALON,301 A W UPSHUR,,GLADEWATER TX 75647,9038452096,09/30/2025,SHELBA BEAUTY SALON,301A W UPSHUR AVE,,GLADEWATER TX 75647-2121,GREGG,9038452096,CS,Y,-94.943959,32.536939
